                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1688,                 3.9993,                 1.4642,                0.33279,                0.36892,                0.27537,                0.21136,                0.84949,                 2.4567,                 1.2907,               0.070326,              0.0032971,              0.0032971
                      1,                0.98563,                  2.327,                 1.3086,                0.45082,                 0.3696,                0.36285,                 0.2658,                 1.0882,                 2.2396,                 1.4831,               0.040217,               0.006521,               0.006521
                      2,                 1.0026,                 2.0726,                  1.318,                0.37976,                0.37781,                0.36259,                0.24392,                 1.1616,                 2.1635,                 1.5994,              0.0099973,               0.009635,               0.009635
                      3,                 1.1127,                 2.0649,                 1.3838,                0.49773,                0.40844,                 0.4024,                0.24047,                  1.275,                 2.4184,                 1.6648,               0.009505,               0.009505,               0.009505
                      4,                 1.1635,                 2.0926,                 1.4188,                0.49266,                0.43059,                0.43131,                0.28775,                 1.2826,                 2.0567,                 1.7333,               0.009505,               0.009505,               0.009505
                      5,                 1.1468,                 1.9629,                 1.4031,                0.57615,                0.47571,                0.50378,                0.33064,                  1.201,                 1.9059,                 1.6061,                0.00934,                0.00934,                0.00934
                      6,                 1.1345,                 1.9285,                 1.3864,                0.51984,                0.39079,                0.40014,                0.26584,                 1.2528,                 2.3264,                 1.6659,               0.009175,               0.009175,               0.009175
                      7,                 1.1142,                 1.8383,                 1.3759,                0.64721,                0.57396,                0.62741,                0.45762,                 1.0782,                 1.6784,                 1.4857,                0.00901,                0.00901,                0.00901
                      8,                  1.097,                 1.7859,                 1.3632,                0.59015,                0.55201,                0.58972,                0.42048,                 1.1229,                 1.7999,                 1.5233,               0.008845,               0.008845,               0.008845
                      9,                 1.0655,                 1.6667,                 1.3413,                0.64205,                0.57172,                0.59705,                0.41154,                  1.052,                 1.6509,                  1.422,                0.00868,                0.00868,                0.00868
                     10,                 1.0355,                 1.6337,                 1.3319,                0.68498,                0.61697,                0.65779,                 0.4862,                 1.0156,                 1.4629,                 1.3996,               0.008515,               0.008515,               0.008515
                     11,                 1.0252,                 1.5723,                 1.3182,                0.69214,                 0.6524,                0.70741,                0.51046,                0.97853,                 1.2737,                 1.3617,                0.00835,                0.00835,                0.00835
                     12,                 1.0208,                 1.5319,                 1.3076,                0.72768,                0.62477,                0.67941,                0.50422,                0.98044,                 1.4013,                 1.3642,               0.008185,               0.008185,               0.008185
                     13,                0.97403,                 1.4862,                 1.2881,                0.72385,                0.63076,                0.69343,                0.52277,                0.91367,                 1.3244,                 1.3212,                0.00802,                0.00802,                0.00802
